identifier,title,description,issued,modified,landingPage
https://data.detroitmi.gov/api/views/kjmy-b9g3,SMART Bus Routes,SMART fixed bus routes,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/kjmy-b9g3,https://data.detroitmi.gov/api/views/kjmy-b9g3
https://data.detroitmi.gov/api/views/tugj-7eqq,DDOT Bus Routes,Detroit Department of Transportation bus routes.,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/tugj-7eqq,https://data.detroitmi.gov/api/views/tugj-7eqq
https://data.detroitmi.gov/api/views/v3ct-r7wi,RTA Bus Routes,RTA bus routes,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/v3ct-r7wi,https://data.detroitmi.gov/api/views/v3ct-r7wi
https://data.detroitmi.gov/api/views/i57e-7z9t,QLine Route,QLine route.,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/i57e-7z9t,https://data.detroitmi.gov/api/views/i57e-7z9t
https://data.detroitmi.gov/api/views/2ebr-d8z3,SMART Park and Ride Routes,SMART park and ride bus routes.,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/2ebr-d8z3,https://data.detroitmi.gov/api/views/2ebr-d8z3
https://data.detroitmi.gov/api/views/mzet-mshg,QLine Stops,QLine stops.,2017-10-17,2017-10-17,https://data.detroitmi.gov/d/mzet-mshg,https://data.detroitmi.gov/api/views/mzet-mshg
https://data.detroitmi.gov/api/views/qtg8-bti5,Neighborhood Police Officers,Neighborhood Police Officers by Scout Car Areas,2017-09-27,2017-10-19,https://data.detroitmi.gov/d/qtg8-bti5,https://data.detroitmi.gov/api/views/qtg8-bti5
https://data.detroitmi.gov/api/views/7ayd-33vm,Election Polling Locations,Polling Locations in the City of Detroit as of 2016.,2017-11-01,2017-11-01,https://data.detroitmi.gov/d/7ayd-33vm,https://data.detroitmi.gov/api/views/7ayd-33vm
