identifier,title,description,issued,modified,landingPage,webService,spatial
http://data.imap.maryland.gov/datasets/1471e1170fa5460bb16dad7d02cf0bc0_4,Maryland Campus Facilities - WAC Parking Lots,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Polygon layer of parking lots at Washington College.Last Updated: 11/01/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/9,2017-11-01T17:47:39.000Z,2017-12-01T13:42:22.000Z,http://data.imap.maryland.gov/datasets/1471e1170fa5460bb16dad7d02cf0bc0_4,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/4,"-76.0776,39.2067,-76.0631,39.2224",http://data.imap.maryland.gov/datasets/1471e1170fa5460bb16dad7d02cf0bc0_4
http://data.imap.maryland.gov/datasets/46b43cb0b1f34d50a374664e0ad0a5ae_8,Maryland Campus Facilities - TU Campus Boundary,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.This layer illustrates the Towson University campus boundary. This feature class was converted from a CAD basemap maintained by Towson University Facilities Management.?Last Updated: 03/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/8,2017-12-01T13:49:49.000Z,2017-12-01T13:53:34.734Z,http://data.imap.maryland.gov/datasets/46b43cb0b1f34d50a374664e0ad0a5ae_8,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/8,"-76.6264,39.3827,-76.6041,39.3969",http://data.imap.maryland.gov/datasets/46b43cb0b1f34d50a374664e0ad0a5ae_8
http://data.imap.maryland.gov/datasets/558a969daa8a4b4a8170f3b3fca133d5_5,Maryland Campus Facilities - WAC Buildings,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Polygon layer of buildings at Washington College.Last Updated: 11/01/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/10,2017-11-01T18:00:36.000Z,2017-12-01T13:41:34.000Z,http://data.imap.maryland.gov/datasets/558a969daa8a4b4a8170f3b3fca133d5_5,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/5,"-76.0768,39.2027,-76.0637,39.2217",http://data.imap.maryland.gov/datasets/558a969daa8a4b4a8170f3b3fca133d5_5
http://data.imap.maryland.gov/datasets/0f69811189e74d55a4e90c110f6497ce_7,Maryland Campus Facilities - TU Sidewalks,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.This layer reflects impervious surfaces of the sidewalks within the Towson University campus boundary. This feature class was converted from a CAD basemap maintained by Towson University Facilities Management.?Last Updated: 03/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/7,2017-12-01T13:44:17.000Z,2017-12-01T13:48:06.913Z,http://data.imap.maryland.gov/datasets/0f69811189e74d55a4e90c110f6497ce_7,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/7,"-76.6213,39.3846,-76.6041,39.3971",http://data.imap.maryland.gov/datasets/0f69811189e74d55a4e90c110f6497ce_7
http://data.imap.maryland.gov/datasets/d77de5073eed47a497e3cfa79bfc4ca9_6,Maryland Campus Facilities - WAC Administrative Area Boundaries,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.Polygon layer representing the administrative boundary of Washington College property.?Last Updated: 11/01/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/11,2017-11-01T18:08:58.000Z,2017-12-01T13:40:05.000Z,http://data.imap.maryland.gov/datasets/d77de5073eed47a497e3cfa79bfc4ca9_6,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/6,"-76.0732,39.204,-75.9833,39.222",http://data.imap.maryland.gov/datasets/d77de5073eed47a497e3cfa79bfc4ca9_6
http://data.imap.maryland.gov/datasets/774f672b6c09448f85ca37219dbd2ffc_65,Maryland Sport Venues - Swimming,"This is a MD iMAP hosted service layer. Find more information at http://imap.maryland.gov.Maryland Sports (http://www.marylandsports.us/) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the area of Swimming.Last Updated: 08/2014Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/65",2016-02-17T15:07:36.000Z,2017-12-07T19:05:37.119Z,http://data.imap.maryland.gov/datasets/774f672b6c09448f85ca37219dbd2ffc_65,https://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/FeatureServer/65,"-79.4496,38.1886,-75.6052,39.696",http://data.imap.maryland.gov/datasets/774f672b6c09448f85ca37219dbd2ffc_65
http://data.imap.maryland.gov/datasets/cf592bc505804a86a8afc2ebbcdcd6a8_4,Maryland Campus Facilities - TU Building Footprints,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.This layer reflects impervious surfaces of the buildings within the Towson University campus boundary. This feature class was converted from a CAD basemap maintained by Towson University Facilities Management.?Last Updated: 03/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/4,2017-12-01T13:04:12.000Z,2017-12-01T13:14:41.000Z,http://data.imap.maryland.gov/datasets/cf592bc505804a86a8afc2ebbcdcd6a8_4,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/4,"-76.6197,39.3851,-76.6043,39.3967",http://data.imap.maryland.gov/datasets/cf592bc505804a86a8afc2ebbcdcd6a8_4
http://data.imap.maryland.gov/datasets/110db4add96046cea8c8317cff4ffdc0_5,Maryland Campus Facilities - TU Parking Lots,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.This layer reflects impervious surfaces of the parking lots within the Towson University campus boundary. This feature class was converted from a CAD basemap maintained by Towson University Facilities Management.?Last Updated: 03/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/5,2017-12-01T13:17:34.000Z,2017-12-01T13:27:51.938Z,http://data.imap.maryland.gov/datasets/110db4add96046cea8c8317cff4ffdc0_5,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/5,"-76.6216,39.3851,-76.6054,39.3967",http://data.imap.maryland.gov/datasets/110db4add96046cea8c8317cff4ffdc0_5
http://data.imap.maryland.gov/datasets/c87738e883e14e98afe48d70e0a484e3_6,Maryland Campus Facilities - TU Roads,This is a MD iMAP hosted service layer. Find more information at?http://imap.maryland.gov.This layer reflects impervious surfaces of the roads within the Towson University campus boundary. This feature class was converted from a CAD basemap maintained by Towson University Facilities Management.?Last Updated: 03/2017Feature Service Layer Link:https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/FeatureServer/6,2017-12-01T13:34:50.000Z,2017-12-01T13:39:44.000Z,http://data.imap.maryland.gov/datasets/c87738e883e14e98afe48d70e0a484e3_6,https://geodata.md.gov/imap/rest/services/Structure/MD_CampusFacilities/MapServer/6,"-76.6254,39.3847,-76.6041,39.3966",http://data.imap.maryland.gov/datasets/c87738e883e14e98afe48d70e0a484e3_6
