publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
http://opendata.minneapolismn.gov/datasets/8529687b17e44acf88d52ee696821854_0,Fire Stations,Map service showing the locations of MFD fire stations.,2012-04-25T19:15:23.000Z,2018-01-05T16:40:29.847Z,http://opendata.minneapolismn.gov/datasets/8529687b17e44acf88d52ee696821854_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fire_Stations/FeatureServer/0,"-93.3204369681973,44.9049153448895,-93.2238579308365,45.0396951127998"
http://opendata.minneapolismn.gov/datasets/772ebcaf2ec0405ea1b156b5937593e7_0,Fire Station Areas,Map service showing the Fire Station service areas for the Minneapolis Fire Department.,2012-04-25T19:32:02.000Z,2018-01-05T16:40:30.498Z,http://opendata.minneapolismn.gov/datasets/772ebcaf2ec0405ea1b156b5937593e7_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Fire_Station_Areas/FeatureServer/0,"-93.3291083642602,44.8901520021226,-93.1896159986687,45.0512462600492"
http://opendata.minneapolismn.gov/datasets/d67f042acef4454c851d8c7448b216f9_0,Neighborhoods,,2012-06-28T17:52:05.000Z,2017-03-17T19:17:05.275Z,http://opendata.minneapolismn.gov/datasets/d67f042acef4454c851d8c7448b216f9_0,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Neighborhoods/FeatureServer/0,"-93.46,44.85,-93.04,45.09"
