identifier,title,description,issued,modified,landingPage
https://data.detroitmi.gov/api/views/kwh5-7vt7,2016 DDOT Bus Routes,"Detroit Department of Transportation Routing System for the January 23, 2016 Schedule",2016-02-16,2016-08-23,https://data.detroitmi.gov/d/kwh5-7vt7,https://data.detroitmi.gov/api/views/kwh5-7vt7
https://data.detroitmi.gov/api/views/agne-ypdd,SMART Bus Routes,Suburban Mobility Authority for Regional Transportation (SMART) bus routes. Data originally provided by Data Driven Detroit in partnership with SMART.,2014-11-26,2016-08-28,https://data.detroitmi.gov/d/agne-ypdd,https://data.detroitmi.gov/api/views/agne-ypdd
