publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"Washington County, MN","[u'Trail', u'Bikeway', u'Planning', u'recreation', u'Washington County']",http://data-wcmn.opendata.arcgis.com/datasets/b1298c7f937c43429c3c92ed1472b578,Bikeways Inventory,There is no description available.,2017-10-26T18:41:22.000Z,2017-10-26T18:41:30.949Z,http://data-wcmn.opendata.arcgis.com/datasets/b1298c7f937c43429c3c92ed1472b578,https://www.arcgis.com/home/webmap/viewer.html?webmap=b1298c7f937c43429c3c92ed1472b578,"-93.1192012300909,44.8362049809349,-92.6805687162623,45.2384995894369"
"Washington County, MN","[u'Trail', u'Bikeway', u'Planning', u'recreation', u'Washington County', u'ArcGIS', u'Service Definition', u'sd']",http://data-wcmn.opendata.arcgis.com/datasets/d8d6c31c6adb48fc9363fa4acccb2c43_0,Bikeways Inventory WFL,"Bikeways and Trials provided by communities for planning purposes and compiled by Washington County. Some data was provided in GIS format and some by PDF drawings. Bikeways provided via PDF were heads-up digitized to approximate trail locations. While compiled in 2016, much of the provided data was more than 10 years old.",2017-10-26T18:40:38.000Z,2017-10-26T19:30:52.509Z,http://data-wcmn.opendata.arcgis.com/datasets/d8d6c31c6adb48fc9363fa4acccb2c43_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Bikeways_Inventory_WFL/FeatureServer/0,"-93.0412660090744,44.77833320075798,-92.75910833792506,45.296919527314245"
