publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"Washington County, MN","[u'trails', u'ArcGIS', u'Service Definition', u'sd']",http://data-wcmn.opendata.arcgis.com/datasets/4d2053c593cc4f7685f2823f9e2061b8_0,TRAILS BIKEWAYS,"This dataset was created by the Metro Trails and Bikeways Collaborative, a joint collaborative project involving the technical and managerial GIS staff from the Seven Metropolitan Counties (Anoka, Carver, Dakota, Hennepin, Ramsey, Scott and Washington). Data were gathered from local, state, and federal partners by the project team and put into the metro data model.",2018-03-28T13:26:32.000Z,2018-04-09T12:59:03.505Z,http://data-wcmn.opendata.arcgis.com/datasets/4d2053c593cc4f7685f2823f9e2061b8_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Map_WFL1/FeatureServer/0,"-93.0412660090744,44.74678139962091,-92.75813319780501,45.296919527314245"
"Washington County, MN","[u'trails', u'ArcGIS', u'Service Definition', u'sd']",http://data-wcmn.opendata.arcgis.com/datasets/4d2053c593cc4f7685f2823f9e2061b8_1,Bikeways and Trails,"This dataset was created by the Metro Trails and Bikeways Collaborative, a joint collaborative project involving the technical and managerial GIS staff from the Seven Metropolitan Counties (Anoka, Carver, Dakota, Hennepin, Ramsey, Scott and Washington). Data were gathered from local, state, and federal partners by the project team and put into the metro data model.",2018-03-28T13:26:32.000Z,2018-04-09T12:59:28.735Z,http://data-wcmn.opendata.arcgis.com/datasets/4d2053c593cc4f7685f2823f9e2061b8_1,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/Map_WFL1/FeatureServer/1,"-93.0412660090744,44.74678139962091,-92.75813319780501,45.296919527314245"
