publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
Scott County Minnesota,"[u'Scott County Minnesota', u' Transportation', u' Streets', u' Centerlines', u' Roads']",http://opendata.gis.co.scott.mn.us/datasets/ef1bb673090f4576ab6ad8f2c468801c_0,Street Centerlines,This dataset contains the street centerlines within Scott County. The data schema is consistent with the standards established by MetroGIS and its partners as part of the Metro Regional Centerline Collaborative (MRCC). This centerline data should be considered preliminary until the MRCC effort is finalized.,2017-12-19T00:03:23.000Z,2018-02-05T22:17:05.553Z,http://opendata.gis.co.scott.mn.us/datasets/ef1bb673090f4576ab6ad8f2c468801c_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Street_Centerlines/FeatureServer/0,"-180.0,-90.0,180.0,90.0"
Scott County Minnesota,"[u'Scott County Minnesota', u' Address Points', u' Administration']",http://opendata.gis.co.scott.mn.us/datasets/5e2269bdb5924fa99363159c1b7f5c00_0,Address Points,"This dataset contains the address points within Scott County, in MetroGIS format. The attributes of the data allow for accurate geocoding.",2017-12-19T00:19:18.000Z,2018-02-05T22:21:50.531Z,http://opendata.gis.co.scott.mn.us/datasets/5e2269bdb5924fa99363159c1b7f5c00_0,https://services.arcgis.com/DqIh9WAsIZcPlBEF/arcgis/rest/services/Address_Points/FeatureServer/0,"-93.9798332055029,44.456927274273944,-93.21147811130241,44.897714437658856"
