publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
City of Indianapolis and Marion County - IndyGIS,"[u'IMPD', u'IMPD BEATS', u'IMPD POLICE BEATS']",http://data1-indygis.opendata.arcgis.com/datasets/31e8027caee64d7d8c7d1d8022a8413f_0,PoliceBeatsJanuary2012,There is no description available.,2018-02-13T18:00:15.000Z,2018-02-13T19:39:27.728Z,http://data1-indygis.opendata.arcgis.com/datasets/31e8027caee64d7d8c7d1d8022a8413f_0,http://imaps.indy.gov/arcgis/rest/services/PoliceBeatsJanuary2012/MapServer/0,"-86.3292,39.6322,-85.9369,39.9279"
City of Indianapolis and Marion County - IndyGIS,[u'DMD Tax Abatement DMD Tax Abatemenet Projects Mayors Office CDC Block Grants'],http://data1-indygis.opendata.arcgis.com/datasets/0c299eefe5454f5b84f1d67a41c2f741_19,DMD Tax Abatement Projects,This information contains Tax Abatement project list as maintained by the City of Indianapolis Marion County's DMD.,2018-01-22T18:15:14.000Z,2018-01-22T19:36:12.000Z,http://data1-indygis.opendata.arcgis.com/datasets/0c299eefe5454f5b84f1d67a41c2f741_19,http://imaps.indy.gov/arcgis/rest/services/OpenData_NonSpatial/MapServer/19,"-180.0,-90.0,180.0,90.0"
