identifier,title,description,issued,modified,landingPage,webService,spatial
http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,Public Land Survey Sections,Survey sections and private claims for Michigan's Upper and Lower PeninsulasMore Metadata,2015-03-03T15:26:34.000Z,2015-08-27T11:49:39.000Z,http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/4,"-90.4261,41.6969,-82.4186,48.2683",http://gis-mdot.opendata.arcgis.com/datasets/5e087317ab6a4fb28abe4d41d8204e95_4
http://gis-mdot.opendata.arcgis.com/datasets/90059f787e744db3a0ef7add7d679548_5,Public Land Survey Town Range,More Metadata,2015-03-03T15:31:54.000Z,2015-08-27T11:50:06.000Z,http://gis-mdot.opendata.arcgis.com/datasets/90059f787e744db3a0ef7add7d679548_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/boundaries/MapServer/5,"-90.4185,41.6968,-82.4186,48.2627",http://gis-mdot.opendata.arcgis.com/datasets/90059f787e744db3a0ef7add7d679548_5
http://gis-mdot.opendata.arcgis.com/datasets/f0b0a3c3aee64cff9908f138de9390b8_5,Metropolitan Planning Organizations (MPO),"Metropolitan Planning Organizations (MPO) are boundaries that define specific urbanized areas along with adjacent municipalities that are accepted into the MPO. MPOs serve as localized areas for transportation planning and forecasting traffic demand models. Please see the?MDOT Metadata Form?for additional information.?Update Cycle: The MPO boundaries are updated every census release. They were last updated after the 2010 census.Coverage: This layer is complete in its coverage of all State of Michigan Metropolitan Planning Organizations.Contact:?Pam Boyd  John Lanum

",2015-10-05T12:45:49.000Z,2015-10-05T19:55:02.000Z,http://gis-mdot.opendata.arcgis.com/datasets/f0b0a3c3aee64cff9908f138de9390b8_5,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_boundaries/MapServer/5,"-86.8522,41.6908,-82.3655,43.8411",http://gis-mdot.opendata.arcgis.com/datasets/f0b0a3c3aee64cff9908f138de9390b8_5
