identifier,title,description,issued,modified,landingPage,webService,spatial
http://public-iowadot.opendata.arcgis.com/datasets/49d5a3a6a90643938257baca35ea62fc_0,Cost Center Mile Post Break Points,"These are custom made milepost locations to be used as reference points at primary route intersections, breaks in cost center locations and many county lines.",2016-06-17T13:44:20.000Z,2017-05-19T16:08:46.000Z,http://public-iowadot.opendata.arcgis.com/datasets/49d5a3a6a90643938257baca35ea62fc_0,https://gis.iowadot.gov/public/rest/services/Maintenance/Cost_Center_Break_Points/FeatureServer/0,"-96.6695,40.3572,-90.0866,43.5389",http://public-iowadot.opendata.arcgis.com/datasets/49d5a3a6a90643938257baca35ea62fc_0
http://public-iowadot.opendata.arcgis.com/datasets/a5fa1284394e49059e5da1aa804d3a33_0,RAMS - Traffic ATR Location,Traffic ATR Location data maintained inside the Roadway Asset Management System (RAMS).,2016-12-06T20:48:55.000Z,2017-05-19T16:46:17.000Z,http://public-iowadot.opendata.arcgis.com/datasets/a5fa1284394e49059e5da1aa804d3a33_0,https://gis.iowadot.gov/public/rest/services/RAMS/Traffic_ATR_Location/FeatureServer/0,"-96.5893,40.445,-90.2563,43.4897",http://public-iowadot.opendata.arcgis.com/datasets/a5fa1284394e49059e5da1aa804d3a33_0
