identifier,title,description,issued,modified,landingPage
https://data.detroitmi.gov/api/views/gx6d-7i83,2010 Census Tracts,2010 Census Tracts,2015-01-22,2016-08-28,https://data.detroitmi.gov/d/gx6d-7i83,https://data.detroitmi.gov/api/views/gx6d-7i83
https://data.detroitmi.gov/api/views/sjb9-gjxf,City Boundaries,Boundaries of the City of Detroit,2015-01-22,2016-08-28,https://data.detroitmi.gov/d/sjb9-gjxf,https://data.detroitmi.gov/api/views/sjb9-gjxf
