publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
ArcGIS Online for Maryland,[u'Dedications'],http://data.imap.maryland.gov/datasets/96820f120908483cbafba83381fa3937_0,MDOT Dedications,"MDOT DedicationsIf you have feedback regarding?the accuracy of the information provided in our MDOT Dedications application and/or you know of a dedication we've inadvertently?missed, please?Contact Us.? In your email, please provide as much information as possible related to the specific?dedication(s), including any digital/scanned photos and/or links to information that may be available online.",2018-11-08T19:56:09.000Z,2018-11-08T20:16:19.378Z,http://data.imap.maryland.gov/datasets/96820f120908483cbafba83381fa3937_0,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDOT_Dedications/FeatureServer/0,"-79.48652478775675,37.98368399208213,-75.08922439218597,39.72251257911451",http://data.imap.maryland.gov/datasets/96820f120908483cbafba83381fa3937_0
ArcGIS Online for Maryland,"[u'MDOT', u'SHA', u'Projects', u'Maryland', u'Transportation', u'Road Ready']",http://data.imap.maryland.gov/datasets/eae01b2137734bbeb34d8f8832f3db3c_0,MDOT SHA Road Ready,"Road Ready is MDOT SHA's comprehensive electronic construction brochure to major road construction projects across the State of Maryland on State maintained roadways.? This information is updated daily throughout the roadway construction season during the Spring, Summer and Fall. ?As road projects are completed icons on the map change to show completion status as complete for 60 days. ?Upon 60 days occurring, the project icons turn gray to still show all projects completed during the construction season.MDOT SHA Website",2018-11-06T15:29:37.000Z,2018-11-08T14:02:48.533Z,http://data.imap.maryland.gov/datasets/eae01b2137734bbeb34d8f8832f3db3c_0,https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/MDOT_SHA_Road_Ready_Projects_(All)/FeatureServer/0,"-79.47489078286893,37.99493453241521,-75.07062684393772,39.721977233542894",http://data.imap.maryland.gov/datasets/eae01b2137734bbeb34d8f8832f3db3c_0
