publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
Iowa Department of Transportation,[u'production brige'],http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_0,Bridge Points,There is no description available.,2018-02-15T14:58:10.000Z,2018-02-15T16:34:14.051Z,http://public-iowadot.opendata.arcgis.com/datasets/600ec1fd5c824bb391b37e3efd40a92a_0,https://gis.iowadot.gov/public/rest/services/Bridges_Structures/Bridge_Points/FeatureServer/0,"-96.632,40.3858,-90.1639,43.501"
Iowa Department of Transportation,"[u'RAMS', u'Inventory', u'Asset', u'LRS', u'Speed Limit', u'Road Network', u'Iowa DOT', u'Iowa Department of Transportation']",http://public-iowadot.opendata.arcgis.com/datasets/f957c571b42943a685e4be96e2e54278_0,RAMS - Minimum Posted Speed Limit,This layer contains all the routes with a posted minimum speed limit in Iowa. This data gets updated every 4 weeks or as needed.,2018-02-05T17:06:17.000Z,2018-02-05T16:21:20.000Z,http://public-iowadot.opendata.arcgis.com/datasets/f957c571b42943a685e4be96e2e54278_0,https://gis.iowadot.gov/public/rest/services/RAMS/Minimum_Posted_Speed_Limit/FeatureServer/0,"-96.4773,40.5752,-90.3645,43.4995"
