identifier,title,description,issued,landingPage,webService,spatial
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/26f71ab35d8d4deb941885e50d75c9a1_2,"Chicago NAA OBD Test Only Vehicle Testing Stations - June 14, 2018",This data layer contains the locations of Chicago Non-Attainment Area OBD Test Only Vehicle Testing Station locations. To be used for ArcGIS Desktop 10.1 and ArcGIS Server 10.1 web applications using the ArcGIS Viewer for Silverlight. Also to be viewed in the Operations Dashboard and updated using the iPhone Collector App. Web Maps and Web Applications created in ArcGIS Online for Organizations.,2018-06-14T15:38:21.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/26f71ab35d8d4deb941885e50d75c9a1_2,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/neandmetro_naavts_112513_symbols/MapServer/2,"-88.0322,41.5688,-87.6729,42.0193",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/26f71ab35d8d4deb941885e50d75c9a1_2
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/5943a3c5871f41df86d6330a1ad47255_0,"Chicago NAA OBD Inspection and Repair Vehicle Testing Stations - June 14, 2018",This data layer contains the locations of Chicago Non-Attainment Area OBD Inspection and Repair Vehicle Testing Station locations. To be used for ArcGIS Desktop 10.1 and ArcGIS Server 10.1 web applications using the ArcGIS Viewer for Silverlight. Also to be viewed in the Operations Dashboard and updated using the iPhone Collector App. Web Maps and Web Applications created in ArcGIS Online for Organizations.,2018-06-14T15:35:12.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/5943a3c5871f41df86d6330a1ad47255_0,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/neandmetro_naavts_112513_symbols/MapServer/0,"-88.3844,41.3295,-87.5333,42.4184",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/5943a3c5871f41df86d6330a1ad47255_0
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/09a5ad6a1b0a49eb84162985c1468893_0,E-Waste Collection Sites in Illinois,"Registered E-Waste Collections Sites as of August 14, 2015.",2015-08-14T16:08:24.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/09a5ad6a1b0a49eb84162985c1468893_0,https://services1.arcgis.com/qI0WaD4k85ljbKGT/arcgis/rest/services/EWaste_Collection_Sites_in_Illinois/FeatureServer/0,"-91.40761999999988,37.728680000000104,-87.52620999999999,42.49566000000002",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/09a5ad6a1b0a49eb84162985c1468893_0
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/1e6767a8a9394b13ac3f0c1c6e6311df_5,"Metro East St. Louis NAA Full Service Vehicle Testing Stations - June 14, 2018",This data layer contains the locations of Metro East St. Louis Full Service Vehicle Testing Station locations. To be used for ArcGIS Desktop 10.1 and ArcGIS Server 10.1 web applications using the ArcGIS Viewer for Silverlight. Also to be viewed in the Operations Dashboard and updated using the iPhone Collector App. Web Maps and Web Applications created in ArcGIS Online for Organizations.,2018-06-14T15:41:46.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/1e6767a8a9394b13ac3f0c1c6e6311df_5,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/neandmetro_naavts_112513_symbols/MapServer/5,"-90.1035,38.5672,-89.9848,38.8659",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/1e6767a8a9394b13ac3f0c1c6e6311df_5
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/b5245883250b4202859089d3f2e9af1f_4,"Metro East St. Louis NAA OBD Inspection and Repair Vehicle Testing Stations - June 14, 2018",This data layer contains the locations of Metro East St. Louis OBD Inspection and Repair Vehicle Testing Station locations. To be used for ArcGIS Desktop 10.1 and ArcGIS Server 10.1 web applications using the ArcGIS Viewer for Silverlight. Also to be viewed in the Operations Dashboard and updated using the iPhone Collector App. Web Maps and Web Applications created in ArcGIS Online for Organizations.,2018-06-14T15:40:18.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/b5245883250b4202859089d3f2e9af1f_4,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/neandmetro_naavts_112513_symbols/MapServer/4,"-90.2259,38.481,-89.8745,38.9272",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/b5245883250b4202859089d3f2e9af1f_4
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/083005ff41974851bcaf9d23329456b5_1,"Chicago NAA Full Service Vehicle Testing Stations - June 14, 2018",This data layer contains the locations of Chicago Non-Attainment Area Full Service Vehicle Testing Station locations. To be used for ArcGIS Desktop 10.1 and ArcGIS Server 10.1 web applications using the ArcGIS Viewer for Silverlight. Also to be viewed in the Operations Dashboard and updated using the iPhone Collector App. Web Maps and Web Applications created in ArcGIS Online for Organizations.,2018-06-14T15:36:55.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/083005ff41974851bcaf9d23329456b5_1,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/neandmetro_naavts_112513_symbols/MapServer/1,"-88.3259,41.5727,-87.6011,42.3969",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/083005ff41974851bcaf9d23329456b5_1
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/f991287eba8f4194be82daa26833983f_0,Medicine Disposal Sites (P2D2),Illinois Medicine Disposal Sites update 03/29/16.,2016-03-29T20:31:40.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/f991287eba8f4194be82daa26833983f_0,https://services1.arcgis.com/qI0WaD4k85ljbKGT/arcgis/rest/services/meddisposalsites_sde101_032916/FeatureServer/0,"-91.48564087447826,37.07516237254654,-87.54460446114793,42.491964823656325",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/f991287eba8f4194be82daa26833983f_0
http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/82d6518e65844cb0a60a4f83c0174467_0,Permanent Household Hazardous Waste Collection Sites,Long-term/Permanent Household Hazardous Waste Collection Sites in Illinois.,2014-07-17T19:50:53.000Z,http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/82d6518e65844cb0a60a4f83c0174467_0,http://geoservices.epa.illinois.gov/arcgis/rest/services/OCR/hhwpermanentsites_ocr_062713/MapServer/0,"-89.0897,41.7845,-87.6414,42.3876",http://illinoisepaopendata-illinois-epa.opendata.arcgis.com/datasets/82d6518e65844cb0a60a4f83c0174467_0
