identifier,title,description,issued,modified,landingPage,webService,spatial
State of Michigan,"[u'Lease Class', u'Ownership', u'Land', u'Lease']",http://gis-michigan.opendata.arcgis.com/datasets/1aa70c6a84034644ad479f214f33b237_5,Lease Class,Michigan DNR Lease Class,2018-11-21T21:22:13.000Z,2018-11-21T21:24:24.398Z,http://gis-michigan.opendata.arcgis.com/datasets/1aa70c6a84034644ad479f214f33b237_5,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/dnrRealEstate/FeatureServer/5,"-90.0586,41.6322,-82.1301,47.4311",06a-01,Michigan State,State Agencies Geospatial Data,{u'name': u'State of Michigan'},"Michigan, United States"
State of Michigan,"[u'PRD', u'parks', u'prd', u'centennial', u'Parks and recreation', u'crowdsource', u'recreation', u'DNR', u'memories', u'share', u'Park', u'Recreation']",http://gis-michigan.opendata.arcgis.com/datasets/f0daa17b3d174fa395d2c740ecddf5ee_0,Michigan State Park Centennial Data,"Featured in the?Michigan State Park Centennial?story map. Participants submit their stories, then the submissions are reviewed by DNR staff before becoming public, if deemed appropriate. This dataset contains submissions that have passed the DNR review process and are publicly available.",2018-11-07T21:22:41.000Z,2018-11-08T15:20:25.512Z,http://gis-michigan.opendata.arcgis.com/datasets/f0daa17b3d174fa395d2c740ecddf5ee_0,https://services3.arcgis.com/Jdnp1TjADvSDxMAX/arcgis/rest/services/Michigan_State_Park_Centennial_Data/FeatureServer/0,"-180.0,-90.0,180.0,90.0",06a-01,Michigan State,State Agencies Geospatial Data,{u'name': u'State of Michigan'},"Michigan, United States"
State of Michigan,"[u'Ducks Unlimited', u'CARL', u'Conservation', u'Recreation', u'Land']",http://gis-michigan.opendata.arcgis.com/datasets/a0836d06d2b644c0bac79734cfcb2acc_0,Conservation and Recreation Lands (Fee and Other),Conservation and Recreation Lands (Fee and Other),2018-12-07T14:00:23.000Z,2018-12-07T14:03:43.000Z,http://gis-michigan.opendata.arcgis.com/datasets/a0836d06d2b644c0bac79734cfcb2acc_0,https://gisweb.ducks.org/arcgis/rest/services/GLARO/CARL_feature_service/FeatureServer/0,"-92.8886,36.9829,-80.5191,48.3021",06a-01,Michigan State,State Agencies Geospatial Data,{u'name': u'State of Michigan'},"Michigan, United States"
