publisher,keyword,identifier,title,description,issued,modified,landingPage,webService,spatial
"Washington County, MN","[u'address', u'Washington County']",http://data-wcmn.opendata.arcgis.com/datasets/3fba1ca7f6c047219a439e20c32a3626,Address Point Viewer,There is no description available.,2018-10-09T14:30:00.000Z,2018-10-26T19:18:31.000Z,http://data-wcmn.opendata.arcgis.com/datasets/3fba1ca7f6c047219a439e20c32a3626,https://www.arcgis.com/home/webmap/viewer.html?webmap=3fba1ca7f6c047219a439e20c32a3626,"-92.9708,44.8994,-92.8756,44.9426",http://data-wcmn.opendata.arcgis.com/datasets/3fba1ca7f6c047219a439e20c32a3626
"Washington County, MN","[u'Address', u'  Washington County', u'  Local Government']",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_2,Building Footprints,Address points maintained by Washington County,2018-10-09T14:14:18.000Z,2018-11-02T16:19:32.838Z,http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_2,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/address_points/FeatureServer/2,"-93.0192684289588,44.74279549034918,-92.74770462259684,45.29910084838989",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_2
"Washington County, MN","[u'Address', u' Washington County', u' Local Government']",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_3,Address point summary 09 04 18,Address points maintained by Washington County,2018-10-09T14:14:18.000Z,2018-10-09T14:20:05.462Z,http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_3,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/address_points/FeatureServer/3,"-93.0192684289588,44.74279549034918,-92.74770462259684,45.29910084838989",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_3
"Washington County, MN","[u'Address', u'  Washington County', u'  Local Government']",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_0,Address Points,Address points maintained by Washington County,2018-10-09T14:14:18.000Z,2018-11-02T16:15:45.018Z,http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_0,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/address_points/FeatureServer/0,"-93.0192684289588,44.74279549034918,-92.74770462259684,45.29910084838989",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_0
"Washington County, MN","[u'Address', u'  Washington County', u'  Local Government']",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_1,Driveways,Address points maintained by Washington County,2018-10-09T14:14:18.000Z,2018-11-02T16:17:18.385Z,http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_1,https://services1.arcgis.com/3fjYPqJf7qalQMlb/arcgis/rest/services/address_points/FeatureServer/1,"-93.0192684289588,44.74279549034918,-92.74770462259684,45.29910084838989",http://data-wcmn.opendata.arcgis.com/datasets/1b7ff325c11046bba90e25a84071d095_1
